,Ticker,PreCovidMedianPrice,PreCovidMeanPrice,CovidMinPrice,CurrentPrice,PriceDipPercent,PriceRecoveryPercent,RemainingDipPercent
3019,WAFD,36.74,36.76,20.2,28.93,45.05,23.75,21.3
2981,AIG,53.47,53.71,18.78,42.29,65.04,43.77,21.27
1423,TIGO,46.95,47.04,20.39,37.09,56.65,35.5,21.15
960,SIC,11.28,11.18,1.27,8.82,88.64,67.51,21.14
574,TSN,86.28,86.06,44.18,67.95,48.66,27.62,21.04
1544,HHC,122.32,119.58,37.44,94.46,68.69,47.68,21.01
2635,OGS,92.35,91.78,66.55,72.55,27.49,6.54,20.96
2115,ORCC,17.2,17.22,8.25,13.62,52.1,31.18,20.93
1157,ED,90.19,90.07,65.35,71.28,27.45,6.58,20.86
941,DENN,20.84,21.14,5.0,16.75,76.35,55.58,20.77
50,HAFC,19.25,19.16,7.62,15.19,60.23,39.51,20.71
1990,HRB,23.74,23.99,11.94,19.03,50.24,29.55,20.69
3183,PLYA,7.82,7.82,1.45,6.2,81.45,60.76,20.69
1364,ACNB,35.09,35.12,19.35,27.86,44.91,24.23,20.68
2251,AVCT,10.3,10.24,1.54,8.13,85.0,64.4,20.6
2441,CINF,111.38,110.39,48.54,87.66,56.03,35.44,20.59
2655,PFS,24.77,24.74,9.69,19.68,60.82,40.39,20.44
1982,VREX,29.56,29.59,10.51,23.55,64.48,44.07,20.41
1897,EOG,73.69,74.65,29.76,59.41,60.13,39.72,20.41
