Date,Open,High,Low,Close,Adj Close,Volume
2020-07-06,23.450000762939453,23.450000762939453,23.450000762939453,23.450000762939453,23.450000762939453,0
2020-07-07,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,1100
2020-07-08,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,0
2020-07-09,26.829999923706055,26.829999923706055,25.780000686645508,25.780000686645508,25.780000686645508,1400
2020-07-10,25.780000686645508,25.780000686645508,25.780000686645508,25.780000686645508,25.780000686645508,0
2020-07-13,25.780000686645508,25.780000686645508,25.780000686645508,25.780000686645508,25.780000686645508,0
2020-07-14,25.780000686645508,25.780000686645508,25.780000686645508,25.780000686645508,25.780000686645508,0
2020-07-15,25.780000686645508,25.780000686645508,25.780000686645508,25.780000686645508,25.780000686645508,0
2020-07-16,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,4600
2020-07-17,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
2020-07-20,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
2020-07-21,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
2020-07-22,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
2020-07-23,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
2020-07-24,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
2020-07-27,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
2020-07-28,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
2020-07-29,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
2020-07-30,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
2020-07-31,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
2020-08-03,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
2020-08-04,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
2020-08-05,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
2020-08-06,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
2020-08-07,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,24.799999237060547,0
